Timestamp_LSL,DoF_0,DoF_1,DoF_2,DoF_3,DoF_4,DoF_5,DoF_6,DoF_7,DoF_8,DoF_9,DoF_10,DoF_11,DoF_12,DoF_13,DoF_14,DoF_15,DoF_16,DoF_17,DoF_18,DoF_19,DoF_20,DoF_21,DoF_22,DoF_23
47634.672,-21.332700990562913,28.647889756541158,24.421865081415667,-28.647889756541158,28.104652592391425,-28.64788975654116,1.319783669448844,-28.64788975654116,-11.459155902616462,0.0,4.731255766934857e-15,6.3294121068206e-16,-11.459155902616462,0.0,4.015353965769883e-15,8.336377053020766e-16,-11.459155902616464,0.0,4.4867908920126945e-15,1.5129267059942522e-15,-11.459155902616464,0.0,1.1700984943566398e-16,4.502688220537237e-15
47634.707,-21.332700990562913,28.647889756541158,24.421865081415667,-28.647889756541158,28.104652592391425,-28.64788975654116,1.319783669448844,-28.64788975654116,-11.459155902616462,0.0,4.731255766934857e-15,6.3294121068206e-16,-11.459155902616462,0.0,4.015353965769883e-15,8.336377053020766e-16,-11.459155902616464,0.0,4.4867908920126945e-15,1.5129267059942522e-15,-11.459155902616464,0.0,1.1700984943566398e-16,4.502688220537237e-15
47634.741,-21.332700990562913,28.647889756541158,24.421865081415667,-28.647889756541158,28.104652592391425,-28.64788975654116,1.319783669448844,-28.64788975654116,-11.459155902616462,0.0,4.731255766934857e-15,6.3294121068206e-16,-11.459155902616462,0.0,4.015353965769883e-15,8.336377053020766e-16,-11.459155902616464,0.0,4.4867908920126945e-15,1.5129267059942522e-15,-11.459155902616464,0.0,1.1700984943566398e-16,4.502688220537237e-15
47634.773,-21.270065796168915,28.647889756541158,24.443724827745513,-28.647889756541158,28.108525259240604,-28.64788975654116,1.3124762839048623,-28.64788975654116,-11.459155902616464,0.0,3.2405155052979505e-15,4.3351192752913635e-16,-11.459155902616462,0.0,2.7501824941006355e-15,5.709722836612771e-16,-11.459155902616464,0.0,3.073077459943828e-15,1.0362285808805294e-15,-11.459155902616464,0.0,8.014198556306214e-17,3.0839658037819734e-15
47634.806,-21.270065796168915,28.647889756541158,24.443724827745513,-28.647889756541158,28.108525259240604,-28.64788975654116,1.3124762839048623,-28.64788975654116,-11.459155902616464,0.0,3.2405155052979505e-15,4.3351192752913635e-16,-11.459155902616462,0.0,2.7501824941006355e-15,5.709722836612771e-16,-11.459155902616464,0.0,3.073077459943828e-15,1.0362285808805294e-15,-11.459155902616464,0.0,8.014198556306214e-17,3.0839658037819734e-15
47634.839,-21.494274207701267,28.647889756541154,24.324763616448557,-28.647889756541158,28.126399215134374,-28.64788975654116,1.310455909552259,-28.64788975654116,-11.459155902616464,0.0,2.2979918355244783e-15,3.0742234327708863e-16,-11.459155902616462,0.0,2.7501824941006355e-15,4.049015176811323e-16,-11.459155902616464,0.0,2.179254165375737e-15,7.348351873976388e-16,-11.459155902616464,0.0,5.683220098948554e-17,2.1869755680974753e-15
47634.873,-21.44507764031005,28.647889756541158,24.390172390823768,-28.647889756541158,28.12795330167083,-28.64788975654116,1.3033840484223678,-28.64788975654116,-11.459155902616462,0.0,3.681256449388948e-15,2.182876919231687e-16,-11.45915590261646,0.0,3.211270698722125e-15,2.875035588130252e-16,-11.459155902616464,0.0,1.5473968378578619e-15,1.4841035199075599e-15,-11.459155902616464,0.0,4.035415854509556e-17,1.552879481573899e-15
47634.906,-21.740309841614536,28.647889756541158,24.196231352475536,-28.647889756541158,28.142814145541884,-28.64788975654116,1.3006870984065122,-28.647889756541158,-11.459155902616462,0.0,2.778730243001695e-15,1.5720770015040488e-15,-11.459155902616459,0.0,2.3087444923348718e-15,2.05920463332662e-16,-11.459155902616464,0.0,1.1083016680792168e-15,1.0629687010300548e-15,-11.459155902616464,0.0,2.890311013649028e-17,2.145162304515534e-15
47634.94,-21.740309841614536,28.647889756541158,24.196231352475536,-28.647889756541158,28.142814145541884,-28.64788975654116,1.3006870984065122,-28.647889756541158,-11.459155902616462,0.0,2.778730243001695e-15,1.5720770015040488e-15,-11.459155902616459,0.0,2.3087444923348718e-15,2.05920463332662e-16,-11.459155902616464,0.0,1.1083016680792168e-15,1.0629687010300548e-15,-11.459155902616464,0.0,2.890311013649028e-17,2.145162304515534e-15
47634.973,-21.538894210206184,28.647889756541158,24.34973849185275,-28.647889756541158,28.130337950730492,-28.64788975654116,1.289437393262106,-28.647889756541158,-11.45915590261646,0.0,1.9972524383591723e-15,1.12995301809166e-15,-11.459155902616455,0.0,3.203229624986912e-15,1.4800830290562278e-16,-11.459155902616464,0.0,7.966078083986949e-16,7.640240845179672e-16,-11.459155902616464,0.0,2.0774527265341923e-17,1.6699670777941376e-15
