Timestamp_LSL,Thumb_CMC,Thumb_MCP,Thumb_IP,Index_MCP,Index_PIP,Index_DIP,Middle_MCP,Middle_PIP,Middle_DIP,Ring_MCP,Ring_PIP,Ring_DIP,Pinky_MCP,Pinky_PIP,Pinky_DIP
76531.257,150.30017376871308,174.6360288649426,153.86729278313442,170.93628842261444,178.7630514857608,171.9471879299578,147.2893277304693,77.72063850787114,158.83496098474143,160.0433194850122,149.43009892590723,162.86802211254724,164.8280001868115,176.05455023495668,170.1316615758064
76531.289,160.95433270520653,175.0544442000194,153.08531207477066,155.1844241079744,108.28636753905538,155.4845953619835,166.10449984342569,168.51924503553946,174.09586688432597,166.71971107715524,170.5285299566364,173.50928202633622,166.12783370539697,175.11627565483653,173.934692616096
76531.321,158.0636554112868,173.74741904863922,157.35136434412462,149.1644473963225,113.58239477233646,152.1608077932379,172.6548677004216,174.93860881710532,174.31421085097864,170.17393914413097,173.64787313661583,173.0863393784717,166.80057133303973,171.98256300105373,174.54267342473773
76531.371,155.92134591518808,175.36205231429727,157.40181637945616,161.65154389469512,154.50668583691055,166.22730214112048,175.24290391350124,174.02042578978174,175.13666807211874,174.51932425630002,174.30955573269665,173.60691671626708,170.0661718700751,172.55332802302692,173.51045645704903
76531.376,154.7539169515958,174.52485783986037,153.18131891888456,163.1093650687962,156.48875845809428,168.50522159225264,175.21139028833306,173.42236878911896,176.1637876420616,175.40944097849368,173.71609724891118,174.00481642373575,166.59094993874768,173.61673541388723,172.84336908713738
76531.402,155.3554819296145,174.863779823464,157.3990634267616,170.21676273084162,173.36198981846127,175.70600941071993,176.1812423181709,173.4969429457702,174.76368243096942,177.18908516411045,174.79587297714835,173.19011692424755,173.54232096327587,172.03631287618683,171.400174179224
76531.432,159.14864058657818,173.37759731733345,155.01750888840687,171.20427664685153,175.85936756228315,176.15931285398767,177.63203600532407,176.69403497407475,174.54785964471134,177.49178421998238,175.64084332886216,173.1409462641005,177.01575329498925,168.70814912483752,170.5563609207279
76531.464,156.6533703008688,172.6223014958181,159.87961032042872,171.2864203571113,177.01207807432405,178.5229232795987,164.31385690440874,139.7265509199178,166.6308732113881,168.10472169614067,152.34355470664224,169.61019916100375,174.53625730320942,170.82819331025954,172.2691903556773
76531.497,153.18942989943469,173.58576759084752,159.2267271539901,168.66260801534207,174.94408044453291,178.1595896157007,171.96452706989132,160.00623115085577,173.15627695853647,173.1252254806047,165.9004386007777,173.25778027167522,150.57378182338329,141.31113956939646,163.59950765611342
76531.528,157.40232889998336,172.04361463499268,155.50681913390724,167.3827622025272,177.11479509693493,177.32156038948798,179.31235124770336,175.8570633886233,177.21120022235235,172.32906641288312,172.4342754115218,174.827704505848,135.66661308207767,145.92795586943907,167.74678778156027
